"Date Made Public","Company","Location","Type of breach","Type of organization","Records Breached","Total Records","Description of incident","Information Source","Source URL"
"August 13, 2013","Caledonia Home Health and Hospice","Saint Johnsbury, Vermont","PORT","MED","Unknown","Unknown","The theft of an employee's Netbook on July 20 resulted in the exposure of patient information.  The Netbook was stolen from the employee's home and contained Social Security numbers and other protected patient information. ","Media",""
"July 16, 2013","Calvert Internal Medicine Group","Prince Frederick, Maryland","DISC","MED","Unknown","Unknown","A finance department employee contacted ADP for troubleshooting and an ADP representative removed the firewall of Calvert Internal Medicine Group during the service call.  The firewall was not restored after the call and employees began receiving spam emails from the finance department employee's email account.  Malware was also detected in the spam inbox of the employee's computer.  Names, Social Security numbers, addresses, and other payroll information of current and former employees may have been exposed.","Media",""
"May 29, 2013","Jackson Health System","Miami, Florida","PHYS","MED","1,407 (No SSNs or financial information reported)","Unknown","A box that contained patient medical records was determined to have been missing since January.  Patient medical diagnoses, surgical procedures, and other personal health information may have been exposed. The missing records were either on their way to be electronically scanned or returning from being scanned.","Media",""
"September 3, 2013","St. Anthony","St. Louis, Missouri","PORT","MED","2,600 (No SSNs or financial information reported)","Unknown","The July 29 car burglary of a laptop computer and flash drive resulted in the exposure of patient information.  Patient names, dates of birth, and other information contained in medical records were exposed.","Media",""
"August 30, 2013","Olson & White Orthodontics","O'Fallon, Missouri","STAT","MED","10,000","10,000","The July 22 office theft of several computers resulted in the exposure of patient health information.  Names, addresses, X-rays, photos, and diagnostic findings were exposed.UPDATE (09/04/2013): Two desktops were stolen.  Social Security numbers were also exposed.","Media",""
"September 6, 2013","James A. Haley Veterans Hospital","Tampa, Florida","INSD","MED","106","106","A volunteer allegedly stole the names and Social Security numbers of 106 patients and used the information to file $550,000 worth of fraudulent tax returns.  The volunteer had a co-conspirator and the breach began in late January of 2012.  ","Media",""
"September 11, 2013","Kaiser Permanente","Oakland, California","DISC","MED","Unknown","Unknown","Participants in a Wellness Screening competition pilot may have had their information exposed.  A Kaiser Permanente employee accidentally included confidential information in an email sent to a member of the pilot planning team. In addition to a summary of the competition, it included names, Kaiser Permanente medical record numbers, phone numbers, email addresses, names of employers, department names, and dates and times of health screenings.  The pilot planning team member was not authorized to receive the confidential information.","California Attorney General",""
"August 7, 2013","Retinal Consultants Medical Group (Vitreo-Retinal Medical Group)","Sacramento, California","PORT","MED","1,837 (No SSNs or financial information reported)","Unknown","The theft of a laptop resulted in the exposure of patient information.  The laptop was stolen from the medical group's offices sometime between June 5 and June 6.  Patient names, dates of birth, gender, race, and medical images were exposed.  UPDATE (08/28/2013): The breach affected 1,837 patients.","Media",""
"August 16, 2013","California Department of Corrections and Rehabilitation, Centinela State Prison","Imperial, California","DISC","MED","Unknown","Unknown","A file containing staff names, Social Security numbers, and dates of birth was saved to a Centinela State Prison server that was accessible to all staff.  It was on the server between July 26 and July 29 before being removed.","California Attorney General",""
"August 28, 2013","Office of Janna Benkelman","Denver, Colorado","PORT","MED","1,500 (No SSNs or financial information reported)","Unknown","An office burglary resulted in the exposure of patient information.  A laptop was stolen from the office of Janna Benkelman, a licensed professional counselor.  The laptop was password-protected. ","PHIPrivacy.net",""
"August 28, 2013","Brookdale University Hospital and Medical Center","Brooklyn, New York","PORT","MED","2,700 (No SSNs or financial information reported)","Unknown","The May 24 loss of a portable device resulted in the exposure of patient information.  ","HHS via PHIPrivacy.net",""
"August 28, 2013","Standard Register, Brookdale University Hospital and Medical Center","Brooklyn, New York","PHYS","MED","2,261 (No SSNs or financial information reported)","Unknown","The exposure of patient paper records resulted in a breach that was reported in August 2012.","HHS via PHIPrivacy.net",""
"August 28, 2013","Health Plus Amerigroup, Brookdale University Hospital and Medical Center","Brooklyn, New York","DISC","MED","28,187 (No SSNs or financial information reported)","Unknown","An accidental exposure of protected health information affected patients. The information was accidentally disclosed to other facilities.  The breach was reported in September of 2012.","HHS via PHIPrivacy.net",""
"August 28, 2013","Young Family Medicine Inc. ","Sidney, Ohio","PORT","MED","2,045 (No SSNs or financial information reported)","Unknown","The June 12 theft of a laptop resulted in the exposure of patient information.","HHS via PHIPrivacy.net",""
"August 28, 2013","Hancock OB/GYN","Greenfield, Indiana","INSD","MED","1,396 (No SSNs or financial information reported)","Unknown","An employee was found to have accessed physician notes without a work-related reason.  The breach began on November 9, 2011 and lasted until June 17, 2013.  Names, dates of service, medical record numbers, clinical information were exposed.","HHS via PHIPrivacy.net",""
"September 18, 2013","Logan Community Resources, Inc.","South Bend, Indiana","UNKN","MED","2,900 (No SSNs or financial information reported)","Unknown","An August 24, 2012 breach resulted in the exposure of patient information.","HHS via PHIPrivacy.net",""
"September 18, 2013","Minne-Tohe Health Center/Elbowoods Memorial Health Center","New Town, North Dakota","UNKN","MED","10,000 (No SSNs or financial information reported)","Unknown","An October 1, 2011 breach resulted in the exposure of protected health information.","HHS via PHIPrivacy.net",""
"October 11, 2013","Hope Family Health","Westmoreland, Tennessee","PORT","MED","8,000","8,000","The August 4 theft of an unencrypted laptop from an employee's home may have resulted in the exposure of patient information.  Current and former patients may have had their names, Social Security numbers, dates of birth, and billing addresses exposed.  The information came from financial records, patient account information, and billing records dating back to 2005.","Media",""
"October 2, 2013","Santa Clara Valley Medical Center","San Jose, California","PORT","MED","571 (No Social Security numbers were exposed)","Unknown","The theft of an unencrypted laptop from the audiology department of Santa Clara Valley Medical Center resulted in the exposure of patient names, medical record numbers, dates of birth, ages, sex, dates of service, and brainwave tests.  The theft was discovered on September 16.","Media",""
"October 9, 2013","Holy Cross Hospital","Fort Lauderdale, Florida","INSD","MED","9,900&nbsp;","9,900","Nearly 9,900 former Holy Cross Hospital patients were affected by a breach that involved a dishonest employee filing fraudulent tax returns.  Names, Social Security numbers, dates of birth, and addresses were exposed between November 2011 and August 2013.","Media",""
"September 23, 2013","Columbia University Medical Center (CUMC)","New York, New York","DISC","MED","407","407","An Excel file with the names and Social Security numbers of 407 medical students was accidentally attached to an email that was sent to medical students interested in a residency match list.  The Excel column that contained the Social Security numbers was hidden and still accessible.  The issue was discovered in March for the 2013 list and it was later discovered that the same issue had occurred in 2008 and 2009.","Databreaches.net",""
"October 8, 2013","Saint Louis University, Tenet Healthcare Corporation, SSM Health Care","Saint Louis, Missouri","HACK","MED","3,000 (200 Social Security numbers exposed)","200","On August 8, Saint Louis University learned that about 10 employees had their direct deposit information changed after several malicious phishing emails were sent to employees on July 25.  About 20 phishing emails were sent and several employees provided their account information. No unauthorized transactions have occurred because of the email scam.  Additionally, patients who were treated or reviewed at facilities owned by the Tenet Healthcare Corporation or SSM Health Care may have had their information exposed.","Media",""
"October 6, 2013","CaroMont Health","Gastonia, North Carolina","DISC","MED","1,310 (No Social Security numbers of financial information reported)","Unknown","An email with patient information was sent to an unauthorized person.  Names, dates of birth, addresses, diagnoses, and medications were exposed.","Media",""
"October 28, 2013","Allina Health","Minneapolis, Minnesota","INSD","MED","3,800 (No Social Security numbers reported)","Unknown","Roughly 3,800 patients were affected by a breach that involved a former employee at the Inver Grove Heights clinic.  The employee worked as a certified medical assistant and viewed patient records without permission between February of 2010 and September of 2013.  Patients who were seen at any location within Allina Health's system may have had their demographic, clinical, and health insurance information viewed.  The employee also had access to the last four digits of patients' Social Security numbers.  ","Media",""
"October 28, 2013","HealthFitness, Gerdau","Minneapolis, Minnesota","PORT","MED","Unknown","Unknown","HealthFitness informed Gerdau of a laptop theft that exposed the information of Gerdau employees and employee dependents.  HealthFitness administors Gerdau's health management and wellness program.  The laptop contained Social Security numbers, employee names, spouse names, dates of birth, and health plan elections.","PHIPrivacy.net",""
"October 22, 2013","AHMC Healthcare, Inc.","Alhambra, California","PORT","MED","729,000 (about 73,000 Social Security numbers exposed)","73,000","The October 12 office theft of two laptops resulted in the exposure of patient information from a number of facilities.  Authorities believe a well-known transient was responsible for the thefts.  San Gabriel Valley Medical Center, Garfield Medical Center, Moneterey Park Hospital, Whittier Hospital Medical Center, Greater El Monte Community Hospital, and Anaheim Regional Medical Center patients were affected. Names, Social Security numbers, diagnosis and procedure codes, insurance identification numbers, and insurance payments were exposed.","Media",""
"October 31, 2013","Boone Hospital Center","Columbia, Missouri","INSD","MED","125","125","An employee was found to have accessed Social Security numbers, dates of birth, medical diagnoses, prescribed treatments, and other health information without cause.  A patient contacted Boone Hospital Center on September 16 and said that her personal health information had been accessed.  An investigation revealed the breach and the employee's access was terminated on September 19.","Media",""
"August 28, 2013","Advocate Medical Group, Advocate Health","Park Ridge, Illinois","STAT","MED","4 million","4,000,000","The July 15 office theft of four unencrypted desktop computers resulted in the exposure of patient information. Approximately four million patients who were seen by Advocate Medical Group physicians between the early 1990s and July of 2013 were affected.  Names, Social Security numbers, addresses, and dates of birth were exposed.  Diagnoses, medical record numbers, medical service codes, and health insurance information was also exposed in some circumstances.UPDATE (09/06/2013): A class-action lawsuit on behalf of patients in the Chicago area has been filed.  It claims that Advocate Medical Center should have done more to protect patient information.","Media",""
"November 4, 2013","Phoenix Medical Group","Laurel, New Jersey","INSD","MED","Unknown","Unknown","A dishonest employee accessed and misused patient information sometime between January of 2009 and March of 2012.  Social Security numbers and dates of birth were taken to file fraudulent tax returns. The former employee pleaded guilty to one count of theft of government property and one count of aggravated identity theft.","PHIPrivacy.net",""
"November 4, 2013","Samaritan Family Medicine Resident Clinic, Samaritan Health System ","Corvallis, Oregon","PHYS","MED","1,222 (20 Social Security numbers reported)","20","A patient discovered a stack of unshredded medical documents in a publicly accessible dumpster near the medical offices on Samaritan Drive.  Prescriptions, diagnoses, and other sensitive medical information could have been accessed.  The breach occurred in July and an employee removed the information soon after the incident.The Oregon Department of Consumer and Business Services fined Samaritan $1,000 for the breach.  Samaritan will pay a full fine of $5,000 if it fails to comply with Oregon's confidential records laws during the next five years.","PHIPrivacy.net",""
"November 4, 2013","University Hospitals","Cleveland, Ohio","STAT","MED","7,100 (Unknown number of Social Security numbers)","Unknown","An unnamed contractor misplaced a University Hospitals hard drive after taking it for a computer system upgrade.  The hard drive was stolen from the car of an employee of the contractor on August 8.  It contained patient information such as names, birth dates, addresses, medical record numbers, insurance provider information, and health information.  ","PHIPrivacy.net",""
"October 30, 2013","Children's Healthcare of Atlanta","Atlanta, Georgia","INSD","MED","500 (No Social Security numbers or financial information exposed)","Unknown","Children's Healthcare of Atlanta fired and sued an executive for allegedly taking proprietary information that included patient health information, state license numbers for more than 500 health care providers, and other health care provider information.  The executive announced her resignation on October 16 and on October 18 the Hospital discovered that she had emailed sensitive information to her personal email account.  The executive had planned to leave on December 20 but was fired for exposing the Hospital's sensitive information.","PHIPrivacy.net",""
"October 30, 2013","Emerald Garden, Tampa General Hospital","Clearwater, Florida","INSD","MED","Unknown","Unknown","An investigation uncovered sensitive information from Emerald Garden and Tampa General Hospital patients.  A dishonest Emerald Garden employee was arrested in May and sentenced to 37 months in prison for conspiring to misuse the information to file tax refunds.  A contact at Tampa General Hospital also supplied patient information.  ","PHIPrivacy.net",""
"October 30, 2013","Florida Department of Health","Orlando, Florida","INSD","MED","2,300","2,300","Two former employees used patient records to make lists of names, Social Security numbers, and dates of birth.  The information was created for tax fraud purposes.","PHIPrivacy.net",""
"October 18, 2013","Broward Health Medical Center","Fort Lauderdale, Florida","INSD","MED","960 (Last four digits of Social Security numbers exposed)","Unknown","Federal and local officials discovered a breach that involved the records of 960 patients treated at Broward Health between October of 2012 and December of 2012.  The patients were treated at 1600 S. Andrews Ave. Their names, addresses, dates of birth, insurance policy numbers, and reasons for visits were exposed when an employee took patient documents out of the medical facility.  The last four digits of patients' Social Security numbers are recorded at Broward Health for insurance purposes and were also exposed. ","Media",""
"October 17, 2013","Eagleton School, Castro School, Munroe School","Morrison, Colorado","PORT","MED","100 (No Social Security numbers or financial information reported)","Unknown","The theft of a nurse's suitcase resulted in the exposure of student medical information.  The suitcase contained a thumb drive.  The theft occurred on October 5 and about 100 parents received notification of the breach.  Medications and other health-related information were on the thumb drive.  Addresses and Social Security numbers were not included in the compromised data.","PHIPrivacy.net",""
"October 10, 2013","NHC Healthcare","Oak Ridge, Tennessee","PORT","MED","Unknown","Unknown","An unencrypted backup tape was discovered missing. It contained the names, Social Security numbers, dates of birth, home addresses, and medical information of patients.","Databreaches.net",""
"October 25, 2013","Mount Sinai Medical Center","Miami Beach, Florida","INSD","MED","Unknown","Unknown","An employee who was working at Mt. Sinani Medical Center through a temp agency was found with patient information during a traffic stop.  Police uncovered a bag that contained over 100 printouts with patient names, Social Security numbers, addresses, and dates of birth.  Photocopies of checks that had been written to Mt. Sinai Medical Center and corresponding billing statements were also found during the February 27, 2013 traffic stop.  Additional information that could be used for fraud was also found at the temporary employee's residence.The dishonest employee was convicted for involvement in the identity theft and tax refund scheme. It was later discovered that the temp agency gave Mt. Sinai Medical Center false background information about the temporary employee.  Mt. Sinai Medical Center no longer does business with the staffing agency.","PHIPrivacy.net",""
"November 7, 2013","DaVita","Denver, Colorado","PORT","MED","11,500 (375 Social Security numbers exposed)","375","The theft of an unencrypted laptop resulted in the exposure of patient and employee information.  The laptop was stolen from an employee's vehicle and contained names, insurance information, diagnoses, and dialysis treatment information.  Approximately 375 patients also had their Social Security numbers exposed.","Media",""
"August 29, 2013","LabMD","Atlanta, Georgia","HACK","MED","9,000","9,000","An FTC complaint states that a LabMD spreadsheet with insurance billing data of over 9,000 customers was discovered on a public file sharing network. Social Security numbers, insurance information, medical treatment codes, and dates of birth were exposed by the cyber security issue.  Identity thieves were found to have acquired the personal information of at least 500 LabMD customers.UPDATE (11/15/2013): LabMD disputed the FTC probe and alleged that the government funded the breach to retaliate against LabMD.","Media",""
"November 11, 2013","St. Mary's Janesville Hospital, SSM Health Care","Janesville, Wisconsin","PORT","MED","629 (No Social Security numbers or financial information exposed)","Unknown","The August 27 car theft of an SSM Health Care employee's unencrypted laptop resulted in the exposure of patient information.  Patients who were treated in St. Mary's Janesville Hospital's emergency room between January 1 and August 26 of 2013 were affected.  Names, dates of birth, medical record numbers, account numbers, providers, departments of service, bed numbers, room numbers, dates and times of service, history of visits, complaints, diagnoses, procedures, test results, vaccines, and medications were exposed.","PHIPrivacy.net",""
"November 15, 2013","Office of Dr. Paul G. Klein, DPM","Wayne, New Jersey","PORT","MED","2,500 (No Social Security numbers or financial information reported)","Unknown","The October 1 theft of a laptop resulted in the exposure of patient information.","HHS via PHIPrivacy.net",""
"November 15, 2013","Mount Sinai Medical Center","New York, New York","PHYS","MED","1,586 (No Social Security numbers or financial information reported)","Unknown","Patient records were improperly disposed of on August 6.  ","HHS via PHIPrivacy.net",""
"November 15, 2013","Rose Medical Center","Denver, Colorado","PHYS","MED","606 (No Social Security numbers or financial information exposed)","Unknown","Patient records were improperly disposed of sometime between June 28 of 2013 and July 16 of 2013.","HHS via PHIPrivacy.net",""
"November 8, 2013","ICS Collection Services, Inc, University of Chicago Physicians Group","Tinley Park, Illinois","DISC","MED","1,344 (Unknown number of Social Security numbers)","Unknown","University of Chicago Physicians Group's former contractor ICS Collection Services discovered that website users were able to view sensitive information of other users.  At least one user was able to view the names, addresses, dates of birth, insurance payments and dates, insurance company names, insurance policy numbers, procedures, diagnosis codes and descriptions, dates of service, treating physician names, and sometimes even Social Security numbers associated with University of Chicago Physicians Group patients.  ICS Collection Services learned of the issue on July 9.","HHS via PHIPrivacy.net",""
"November 8, 2013","Office of Dr. Carol Patrick, Ph.D","Lima, Ohio","STAT","MED","517","517","The August 8 office theft of several computers resulted in the exposure of patient information.  The computers contained names, Social Security numbers, addreses, and dates of birth that were encrypted.  They also contained letters, reports, evaluations, and session notes that were not encrypted.","PHIPrivacy.net",""
"October 22, 2013","Seton McCarthy Clinic, Seton Healthcare Family","Austin, Texas","PORT","MED","5,500","5,500","The clinic theft of a laptop on October 4 resulted in the exposure of patient information.  The stolen laptop contained names, Social Security numbers, addresses, phone numbers, dates of birth, Seton medical record numbers, patient account numbers, diagnosis information, immunization information, and insurance information of patients who visited the Seton Total Health Partners program, Seton McCarthy, Seton Topfer, and Seton Kozmetsky community health centers.","Media",""
"October 8, 2013","Rothman Institute (Reconstructive Orthopaedic Associates)","Philadelphia, Pennsylvania","INSD","MED","2,350 (No Social Security numbers or financial information involved)","Unknown","A former employee removed paper copies of daily patient schedules from Rothman Institute on August 11.  The paper copies were taken without permission and were not used for malicious purposes.  Patients who were seen between March 18 and May 10 may have had their names, telephone numbers, dates of birth, locations, staff or physician seen, codes for insurance companies, copay amounts, dates and times of appointments, reasons for visits, and internal-use chart, and code numbers exposed.  Social Security numbers and credit card information were not exposed. The information was not shared with unauthorized parties.UPDATE (11/08/2013): A total of 2,350 patients were affected.","Media",""
"October 19, 2013","Hospice of the Chesapeake","Pasadena, Maryland","INSD","MED","7,035 (No Social Security numbers or financial information exposed)","Unknown","An employee emailed spreadsheets with sensitive patient information to a personal account in order to work from home.  Names, ages, dates of service, diagnoses, and medical record numbers were in the spreadsheets.  The breach was discovered on August 8 and initially suspected to have been caused by a computer intrusion.  Hospice of the Chesapeake investigated the breach for two months before revealing it to patients.UPDATE (11/08/2013): Hospice of the Chesapeake notified HHS and stated that 7,035 patients were affected.","Media",""
"September 6, 2013","Office of Dr. Hankyu Chung","San Jose, California","PORT","MED","2,182 (No Social Security numbers or financial information reported)","Unknown","A June 17 office burglary resulted in the theft of two laptops.  One of the laptops contained names, telephone numbers, dates of birth, visit dates, health complaints, physical examination notes, diagnoses, testing information, medication information, and other medical record information.  The thief or thieves were able to get into the office by opening an unlocked door.  No identity theft protection services are being offered to affected patients.UPDATE (11/08/2013): HHS received a report stating that 2,182 patients were affected by the breach.","California Attorney General",""
"November 11, 2013","North Country Hospital and Health Center","Newport, Vermont","INSD","MED","550 (No Social Security numbers or financial information reported)","Unknown","A former employee refused to return a laptop that contained unspecified patient health information.  North County Hospital first learned of the issue on September 18.  The Newport Police Department was contacted and all administrator-level computer system user codes and passwords that the employee had access to were changed.  The laptop was also password-protected and will be remotely locked out if someone attempts to use it to access the Hospital systems.","HHS via PHIPrivacy.net",""
"November 8, 2013","Texas Health Presbyterian Dallas Hospital","Dallas, Texas","STAT","MED","949 (No Social Security numbers or financial information reported)","Unknown","The August 22 office theft of a computer resulted in the exposure of patient information.  Names, dates of birth, age, gender, radiology images, radiation therapy dose planning, diagnoses, and Texas Health Presbyterian medical record numbers were on the computer.","HHS via PHIPrivacy.net",""
"November 8, 2013","Comprehensive Podiatry LLC","Independence, Ohio","PORT","MED","1,360 (No Social Security numbers or financial information reported)","Unknown","The August 3 theft of a laptop resulted in the exposure of patient information.","HHS via PHIPrivacy.net",""
"November 8, 2013","Access Counseling, LLC","Los Angeles, California","PORT","MED","566 (Partial Social Security numbers involved)","Unknown","A briefcase was stolen from an employee's car sometime between the evening of August 22 and the morning of August 23.  The case files of seven clients were inside of the briefcase. Additionally, the briefcase contained a computer with files that included names, partial Social Security numbers, dates of birth, addresses, and clinical notes related to all clients.","HHS via PHIPrivacy.net",""
"November 8, 2013","BriovaRx","Chicago, Illinois","UNKN","MED","1,067 (No Social Security numbers or financial information reported)","Unknown","A breach of patient records occurred between July 3 and July 11 of 2013.  In a breach that may be related, a former employee was sued for stealing confidential health information and trade secrets in October.","HHS via PHIPrivacy.net",""
"November 8, 2013","Region Ten Community Services Board","Charlottesville, Virginia","HACK","MED","10,228 (No Social Security numbers or financial information exposed)","Unknown","A hacker obtained the passwords to several employees' emails on July 29.  The email accounts may have contained the health information of patients.","HHS via PHIPrivacy.net",""
"November 8, 2013","Schuylkill Health System","Pottsville, Pennsylvania","PORT","MED","2,810 (No Social Security numbers or financial information reported)","Unknown","The August 7 theft of a laptop resulted in the exposure of patient information.  ","HHS via PHIPrivacy.net",""
"November 8, 2013","Littleton Podiatry","Littleton, Colorado","PORT","MED","3,512 (No Social Security numbers or financial information exposed)","Unknown","The August 27 theft of a laptop resulted in the exposure of patient information.","HHS via PHIPrivacy.net",""
"October 21, 2013","RGV DME (Durable Medical Equipment)","McAllen, Texas","INSD","MED","Unknown","Unknown","Three people were sentenced to prison for their roles in a scheme to defraud Medicare and Medicaid.  Two of the people owned RGV DME and a third worked for them.  Between early 2004 and late 2011, the three submitted fraudulent claims to Medicare and Texas Medicaid for DME supplies.","PHIPrivacy.net",""
"November 14, 2013","Alta Bates Summit Medical Center, AverMedia Technologies","Berkeley, California","INSD","MED","115","115","Two women are accused of misusing the information of over 115 people in the Bay Area for identity theft purposes.  At least 15 Atla Bates Summit Medical Center patients had their information misused and at least 35 had their information collected.  The two women were arrested on November 5 and also had a payroll sheet from AverMedia Technologies in their possession.","HHS via PHIPrivacy.net",""
"October 3, 2013","Mercy Health Systems, Allscripts","Baltimore, Maryland","STAT","MED","25 (No Social Security numbers or financial information reported)","Unknown","An unencrypted hard drive was discovered missing on January 14, 2013.  It held the names, health plan beneficiary numbers, diagnoses, medical record numbers, and account numbers of 25 Mercy Health Systems patients.  The hard drive was last seen by Mercy Health Systems' transcription contractor, Allscripts. Mercy Health Systems learned of the issue on February 14, 2013.","PHIPrivacy.net",""
"October 3, 2013","Tri-State Surgical Associates","Elkton, Maryland","INSD","MED","433","433","An unauthorized staff member provided a physician with the information of 433 patients on July 18.  The information included names, Social Security numbers, addresses, phone numbers for home and work, dates of birth, sex, languages spoken, employers, emergency contacts, emergency phone numbers, emergency contact relationship, guarantor information, and insurance information.","Media",""
"October 4, 2013","NHC Healthcare Oak Ridge","Oak Ridge, Tennessee","PORT","MED","Unknown","Unknown","An unencrypted backup tape was discovered missing.  It contained patient names, Social Security numbers, dates of birth, home addresses, and medical information.","Media",""
"October 2, 2013","UnityPoint Health","West Des Moines, Iowa","INSD","MED","1,800 (less than 180 Social Security numbers exposed)","180","A breach was discovered on August 8 during the course of a routine audit.  It was discovered that a contractor accessed UnityPoint's EMR system without a legitimate reason.  An employee gave computer passwords to an employee of another company that provides care to patients.  Names, medical insurance account numbers, home addresses, dates of birth and other health information was accessed between February of 2013 and August of 2013.  ","PHIPrivacy.net",""
"November 25, 2013","University of California, San Francisco (UCSF)","San Francisco, California","PORT","MED","8,294","8,294","The September 25 car theft of a physician's laptop may have resulted in the exposure of patient information.  The laptop may or may not have been encrypted and the physician is based in the Division of Gastroenterology at UCSF's School of Medicine. Patient names, Social Security numbers, dates of birth, and medical record numbers were on the laptop.  ","Media",""
"November 15, 2013","Superior HealthPlan, Inc.","Austin, Texas","DISC","MED","6,284 (No Social Security numbers or financial information reported)","Unknown","New Health and Human Services Commission ID numbers were sent on Superior ID cards to CHIP members on October 4.  It was discovered that a computer error caused some Superior CHIP ID cards to be sent to incorrect addresses. Names, CHIP ID numbers, and doctors' names and phone numbers were exposed.  All members who were affected were notified.","HHS via PHIPrivacy.net",""
"November 8, 2013","Ferris State University - Michigan College of Optometry","Big Rapids, Michigan","HACK","MED","3,947","3,947","Michigan College of Optometry learned on July 23, 2013 that their network had been compromised in December of 2011.  A malware program could have accessed the names, Social Security numbers, demographic information, and a limited amount of clinical information of patients that were on the server.  Former and current patients were mailed letters on September 24.","HHS via PHIPrivacy.net",""
"November 8, 2013","Sierra View District Hospital","Porterville, California","INSD","MED","1,009 (No Social Security numbers or financial information reported)","Unknown","A routine security audit at Sierra View District Hospital revealed that an employee had inappropriately accessed protected health information.  An investigation revealed that the information was not disclosed externally.  The breach occurred between July 1 and August 2.  ","HHS via PHIPrivacy.net",""
"November 28, 2013","Orange County Anaheim Medical Center, Kaiser Foundation Hospital","Anaheim, California","PORT","MED","Unknown","Unknown","A flash drive that contained patient information was discovered missing on September 25, 2013.  It contained names, dates of birth, and medical record numbers.  ","PHIPrivacy.net",""
"November 27, 2013","University of Pittsburgh Medical Center","Pittsburgh, Pennsylvania","INSD","MED","1,300","1,300","An employee was found to have accessed patient records without legitimate cause.  The employee worked in a unit coordinator position for about a year and her supervisor was aware of the issue.  Patient names, Social Security numbers, medical records, dates of birth, contact information, treatment information, and diagnosis information were accessed.  The employee was fired.","Media",""
"November 22, 2013","Redwood Memorial Hospital","Fortuna, California","PORT","MED","1,039 (No Social Security numbers or financial information reported)","Unknown","An unencrypted flash drive from Redwood Memorial Hospital's Cardiopumlonary Services Department was discovered missing on November 8.  The flash drive had been missing since at least November 6 and contained patient names, report ID numbers, test indications, ages, heights, weights, test recording and analysis dates and times, facility and address where services were rendered, and clinical summaries of test findings.  Some patients who were seen at Redwood Memorial Hospital between 2001 and 2013 may have had their information exposed.  ","Media",""
"November 26, 2013","Anthem Blue Cross",", California","DISC","MED","24,500","24,500","The Social Security numbers and tax identification numbers of around 24,500 California doctors were accidentally posted in Anthem's online provider directory.  The information was available online at the end of October for about 24 hours.","Media",""
"November 15, 2013","Dynacare Laboratory, Froedtert Health Workforce Health, City of Milwaukee","Milwaukee, Wisconsin","PORT","MED","9,414","9,414","A Dynacare Laboratory employee's car was stolen on October 22.  The car held a flash drive with employee names, Social Security numbers, addresses, dates of birth, and genders.  Dynacare Laboratory is one of Froedtert Health Workforce's contractors and Froedtert Health Workforce was handling health information for the City of Milwaukee Wellness Program.  The City of Milwaukee Department of Employee Relations learned of the incident on November 15.UPDATE (11/18/2013): A Dynacare laptop that contained no personal information was also in the employee's car.  The car and laptop were recovered; the flash drive remains missing.UPDATE (11/21/2013): The City of Milwaukee filed a complaint against Dynacare with the Federal Office of Civil Rights.UPDATE (11/29/2013): A total of 9,414 people were affected including about 6,000 city employees and 3,000 city employee dependents.  The Milwaukee Professional Firefighters Association Local 215 was also affected and a lawsuit against Dynacare Laboratory and Froedtert Health was filed.","Media",""
"November 20, 2013","Office of Dr. Kathleen Whisman","Sebastopol, California","STAT","MED","Unknown","Unknown","Sometime around April 11, 2013, Dr. Whisman learned of a breach that involved patient information on a computer recovered during an identity theft ring investigation.  The patient information included full names, Social Security numbers, addresses, telephone numbers, dates of birth, and insurance plan information for patients who were seen in 1998 and 1999.  The information likely came from a stolen computer and Dr. Whisman was encouraged to delay notification until the investigation was completed.","California Attorney General",""
"December 6, 2013","Houston Methodist Hospital","Houston, Texas","PORT","MED","1,300","1,300","The December 5 theft of an encrypted laptop and files resulted in the exposure of transplant patient information.  Names, Social Security numbers, and dates of birth may have been exposed.","Media",""
"November 29, 2013","University of Washington Medicine","Seattle, Washington","HACK","MED","90,000","90,000","An employee at UW Medicine opened an email attachment that contained malicious software in early October.  The malware affected the employee's computer and any information on the computer may have been compromised.  Patient names, Social Security numbers, phone numbers, addresses, and medical record numbers may have been affected.  Patients who were seen at UW Medicine dating back to at least 2008 could have had their information exposed.  Notifications of the breach were sent at the end of November.","Media",""
"November 28, 2013","Florida Digestive Health Specialists","Bradenton, Florida","INSD","MED","4,400","4,400","An employee was found to have improperly accessed and photographed patient records.  The issue was discovered when the employee had the images printed at a store and a store employee reported the incident.  Patient names, Social Security numbers, dates of birth, and phone numbers were exposed.  The employee was fired and a criminal investigation has begun.","Media",""
"October 18, 2013","BW Arthritis and Rheumatology, Good Samaritan Hospital, MedStar Health Inc, Padder Health Service, LLC","Glen Burnie, Maryland","INSD","MED","55","55","Four people face charges related to misusing patient information to make more than $750,000 of fraudulent purchases.  At least two of the people worked at medical offices and at least one had direct access to a health care database.  One of the dishonest employees worked at Paddar Health Service between June of 2010 and February of 2012 and at BW Arthritis and Rheumatology between February of 2012 and February of 2013.  Another dishonest employee worked at Good Samaritan Hospital from July of 2008 to July of 2010.  ","PHIPrivacy.net",""
